 Matthew Perry,1021,4.2,,,
 Gretchen Mol,1675,1.01,,,
 JoAnna Garcia Swisher,977,0.114,,,
 Emily Mortimer,1618,0.934,,,
 David Labrava,7099,0.128,,,
 Mike Vogel,1897,0.323,,,
 Anna Chlumsky,742,0.397,,,
 Taraji P Henson,681,6.39,,,
 Chad McQueen,9178,0.0433,,,
 Serinda Swan,151,0.303,,,
 Charlotte Gainsbourg,1426,4.47,,,
 Bill Pullman,1924,2.18,,,
 Olivia Thirlby,1185,0.384,,,
 Liev Schreiber,1099,2.77,,,
 Dennis Quaid,989,3.22,,,
 Mishel Prada,54341,0.0647,,,
 Tiera Skovbye,1231,0.101,,,
 Kristin Lehman,4774,0.116,,,
 Wentworth Miller,181,3.15,,,
 Joel McHale,2813,1.57,,,
 Emily Deschanel,1367,1.68,,,
 Edgar Ramrez,739,0.00845,,,
 Missy Peregrym,1393,0.315,,,
 John Lithgow,2140,1.38,,,
 Natasha Henstridge,869,1.36,,,
 Clive Standen,636,0.32,,,
 Victoria Justice,1724,15.9,,,
 Ethan Suplee,1411,0.159,,,
 Sean Murray,2585,0.538,,,
 Diana Rigg,1569,0.64,,,
 Meg Donnelly,3449,0.359,,,
 Emilio Estevez,302,0.871,,,
 Ike Barinholtz,683,0.259,,,
 Bradley Whitford,593,0.539,,,
 Geoff Stults,3246,0.144,,,
 Jay Hernandez,1270,0.337,,,
 Rachael Harris,1547,0.233,,,
 Gina Torres,1745,2.02,,,
 Laura Benanti,3492,0.321,,,
 Joely Richardson,1532,0.591,,,
 Michael Caine,1174,6.23,,,
 Maggie Lawson,2298,0.204,,,
 Shiri Appleby,2480,0.363,,,
 Joe Cole,2217,0.472,,,
 Tara Reid,1130,5.71,,,
 Danielle Harris,1342,0.668,,,
 Ritchie Coster,7861,0.057,,,
 Paul Thomas Anderson,514,1.59,,,
 Kimberly-Sue Murray,16002,0.015,,,
 Kate Bosworth,909,10.2,,,
 Adrienne Barbeau,1829,0.441,,,
 Goran Visnjic,4969,0.231,,,
 Stephen Root,1742,0.288,,,
 Scout Taylor-Compton,3977,0.207,,,
 Kevin Durand,1434,0.246,,,
 Ashley Greene,1143,6.83,,,
 Emile Hirsch,1057,1.17,,,
 Kiki Sukezane,15079,0.0334,,,
 Colin Ford,4409,0.259,,,
 Robert Patrick,1460,1.29,,,
 Seth Green,1117,1.62,,,
 Katharine Ross,639,0.374,,,
 Barry Pepper,2566,0.27,,,
 Paul Dano,1531,0.896,,,
 Catherine Bach,4476,0.306,,,
 Ming-Na Wen,1419,0.638,,,
 Sophie Marceau,1697,4.5,,,
 Jaime Ray Newman,2853,0.127,,,
 Katherine LaNasa,2718,0.0897,,,
 Jeanne Tripplehorn,2067,0.469,,,
 Thomas Sadoski,2596,0.179,,,
 Norman Reedus,863,10.5,,,
 James Purefoy,2593,0.416,,,
 Laura Linney,864,1.83,,,
 Jodelle Ferland,1191,0.307,,,
 Rebecca De Mornay,1405,0.377,,,
 Christian Serratos,1221,0.787,,,
 Mike Colter,1682,0.435,,,
 Sherry Jackson,4700,0.117,,,
 Pam Ferris,1087,0.116,,,
 Zo Bell,2030,0.0148,,,
 David McCallum,2550,0.434,,,
 Alice Braga,1176,0.654,,,
 Rowan Blanchard,1458,2.89,,,
 Dominic West,1788,1.18,,,
 Shemar Moore,1368,2.6,,,
 Jake Lacy,1843,0.145,,,
 Anson Mount,233,0.291,,,
 Lucy Davis,2064,0.198,,,
 Claudia Doumit,7956,0.0402,,,
 DeRon Horton,1900,0.0336,,,
 Michelle Forbes,1773,0.223,,,
 Eric Roberts,2027,1.24,,,
 Julie Andrews,1670,6.35,,,
 Cindy Morgan,4432,0.242,,,
 Lucas Till,947,0.649,,,
 Billie Lourd,1756,0.932,,,
 June Diane Raphael,905,0.144,,,
 Zoe Lister-Jones,1696,0.146,,,
 Sunny Suljic,61874,0.0221,,,
 Michael Sheen,647,1.58,,,
 Matt Smith,1318,6.38,,,
 Virginia Madsen,609,1.07,,,
 Jackson Rathbone,1736,0.586,,,
 Andrew Rannells,4042,0.881,,,
 Clifton Collins Jr,2944,0.231,,,
 Eva Mendes,1001,13.2,,,
 Matthew Rhys,1921,1.45,,,
 Tracy Nelson,4588,0.146,,,
 Ariana Richards,2120,0.101,,,
 David Mazouz,1377,0.341,,,
 Douglas Smith,3329,0.837,,,
 Ioan Gruffudd,2132,0.409,,,
 Emily Watson,1946,0.908,,,
 Jane Seymour,1324,5.22,,,
 Ariana Grande,1944,125,,,
 Craig Parker,2729,0.186,,,
 Cam Gigandet,595,1.07,,,
 Henry Winkler,3582,1.25,,,
 Terry Farrell,1646,0.265,,,
 Jessica Capshaw,2437,0.502,,,
 Ron Livingston,3081,0.451,,,
 Hilarie Burton,768,0.757,,,
 Ben Hardy,5328,0.233,,,
 Bonnie Wright,1465,1.82,,,
 Hugh Dancy,1834,1.44,,,
 Jackie Moore,5757,0.789,,,
 Bob Morley,1509,0.654,,,
 Milana Vayntrub,1381,0.329,,,
 James Norton,1223,0.99,,,
 Billie Piper,572,3.03,,,
 Melissa Barrera,92385,0.191,,,
 Sophie Cookson,1122,0.211,,,
 Kevin James,1854,3.73,,,
 Franka Potente,1683,0.264,,,
 Jessica Szohr,2270,1.04,,,
 Miranda Cosgrove,2263,10.4,,,
 Lake Bell,474,2.74,,,
 Sophie Rundle,282,0.109,,,
 Golshifteh Farahani,1964,0.892,,,
 Alan Powell,10005,0.106,,,
 Michael Pea,2149,0.0521,,,
 Matthew Gray Gubler,926,1.67,,,
 Olivia Williams,1530,0.462,,,
 Christopher Walken,1242,4.49,,,
 Andie MacDowell,2909,1.03,,,
 Shelley Hennig,2473,0.835,,,
 Lindsay Pulsipher,5152,0.0738,,,
 Mary Stuart Masterson,2687,0.229,,,
 Alec Baldwin,1208,10.7,,,
 Alex Lawther,6326,0.172,,,
 Natalie Zea,1164,0.211,,,
 Michelle Borth,2795,0.38,,,
 Haley Lu Richardson,212,0.259,,,
 Shelley Long,2096,0.273,,,
 Steve Martin,2040,7.64,,,
 Georgina Chapman,14059,0.871,,,
 Yael Grobglas,2906,0.134,,,
 Lewis Tan,6461,0.153,,,
 Chris Wood,921,2.01,,,
 Radha Mitchell,1650,0.587,,,
 Atticus Shaffer,1484,0.097,,,
 Kelly Marie Tran,5948,0.651,,,
 Lina Esco,10825,0.148,,,
 Timothy Omundson,1207,0.186,,,
 Alison Pill,1391,0.342,,,
 Billy Burke,3576,0.542,,,
 Jonathan Taylor Thomas,2038,0.323,,,
 Penn Badgley,2063,0.983,,,
 Jamie-Lee Money,69687,0.0107,,,
 Riley Smith,4830,0.659,,,
 Alex Hgh Andersen,925,0.108,,,
 Justine Bateman,4525,0.21,,,
 Jennifer Ehle,1487,0.38,,,
 Jessica Dinnage,538569,0.0126,,,
 Emily Maddison,11440,0.0525,,,
 Olivia Holt,3126,5.27,,,
 Sofia Black-DElia,670,0.0476,,,
 Alexa Davalos,1275,0.63,,,
 Ashley Blaine Featherson,2674,0.033,,,
 Michael Bay,1828,4.95,,,
 Matthew Daddario,1765,1.11,,,
 Zach Woods,1620,0.175,,,
 Mozhan Marn,1763,0.00869,,,
 Connie Britton,2044,1.28,,,
 Kerry Washington,1299,11.9,,,
 Gabrielle Anwar,1409,0.876,,,
 Linda Hunt,2973,0.342,,,
 Robert Duvall,1387,2.25,,,
 Hayley Kiyoko,4379,3.77,,,
 Dermot Mulroney,978,0.626,,,
 Mischa Barton,1464,6.82,,,
 Marcia Gay Harden,2308,0.98,,,
 Rutger Hauer,856,0.997,,,
 Jack Kesy,8711,0.0948,,,
 Adrian Pasdar,4043,0.22,,,
 Viola Davis,1515,5.44,,,
 Robert Carlyle,1158,1.37,,,
 Sharlto Copley,1403,0.403,,,
 Becky G,1868,34.5,,,
 Rita Moreno,3086,1.32,,,
 Mercedes Mason,4018,0.109,,,
 Sean Kanan,16016,0.0665,,,
 Eliza Coupe,3395,0.216,,,
 Grace Van Patten,4418,0.108,,,
 Laurence Fishburne,1901,3.62,,,
 Sharlene Taul,1679,0.000355,,,
 Stephanie Sigman,3677,0.175,,,
 Rufus Sewell,1031,0.734,,,
 RJ Mitte,1346,0.203,,,
 Matt Dillon,2182,2.22,,,
 Charlie Sheen,1328,10.6,,,
 Amanda Bynes,1330,7.79,,,
 Suki Waterhouse,836,3.35,,,
 Lauren Ash,3464,0.116,,,
 Bruce Campbell,2116,2.39,,,
 Taissa Farmiga,1067,1.55,,,
 Elizabeth McGovern,1845,0.373,,,
 Bellamy Young,713,0.311,,,
 Kimberly Williams-Paisley,3373,0.325,,,
 Eva Amurri Martino,2155,0.0915,,,
 Claire Holt,834,1.7,,,
 Danny Trejo,1886,2.53,,,
 Liv Hewson,5285,0.0441,,,
 Lorraine Bracco,2210,0.604,,,
 Jean Louisa Kelly,1558,0.0896,,,
 Mindy Kaling,3004,4.71,,,
 Kelly Brook,1767,19.2,,,
 Mena Suvari,906,2.8,,,
 Stefanie Martini,2799,0.046,,,
 Tara Strong,1945,0.981,,,
 Javier Botet,2471,0.153,,,
 Bill Mumy,6181,0.401,,,
 Josh OConnor,6003,0.0186,,,
